Prediction,True,Diff
10.677186965942383,10.3,0.3771869659423821
9.947137832641602,10.1,-0.15286216735839808
10.118868827819824,10.9,-0.7811311721801761
10.16464900970459,9.2,0.9646490097045906
10.575201034545898,10.2,0.37520103454589915
9.755786895751953,11.0,-1.2442131042480469
10.164273262023926,9.2,0.9642732620239265
10.059470176696777,9.9,0.159470176696777
9.79518985748291,9.6,0.1951898574829105
9.903051376342773,9.8,0.10305137634277273
10.169328689575195,9.9,0.26932868957519496
9.825748443603516,10.4,-0.5742515563964847
9.593950271606445,10.0,-0.4060497283935547
10.210562705993652,11.0,-0.7894372940063477
9.642842292785645,8.3,1.3428422927856438
9.900044441223145,10.1,-0.1999555587768551
9.950736045837402,11.1,-1.1492639541625973
10.214197158813477,10.6,-0.3858028411865231
10.33773136138916,10.9,-0.5622686386108402
10.292973518371582,9.1,1.1929735183715824
RMSE,RMSE,0.7294431517755006
